"","Package","LibPath","Version","Priority","Built"
"assertthat","assertthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"backports","backports","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.2",NA,"3.4.3"
"base","base","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"base64enc","base64enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-3",NA,"3.4.0"
"BH","BH","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.65.0-1",NA,"3.4.1"
"bindr","bindr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.0"
"bindrcpp","bindrcpp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2",NA,"3.4.0"
"Biobase","Biobase","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.38.0",NA,"3.4.2"
"BiocGenerics","BiocGenerics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.24.0",NA,"3.4.2"
"BiocInstaller","BiocInstaller","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.28.0",NA,"3.4.2"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-6",NA,"3.4.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-20","recommended","3.4.3"
"broom","broom","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.3",NA,"3.4.2"
"callr","callr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.3"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.17.1",NA,"3.4.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"class","class","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-14","recommended","3.4.3"
"cli","cli","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.2"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.0",NA,"3.4.2"
"clisymbols","clisymbols","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.6","recommended","3.4.3"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2-15","recommended","3.4.3"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-2",NA,"3.4.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.4",NA,"3.4.1"
"curl","curl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1",NA,"3.4.3"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.10.4-3",NA,"3.4.2"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.3","base","3.4.3"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.0"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.3"
"debugme","debugme","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.2"
"desc","desc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.1"
"dichromat","dichromat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-0",NA,"3.4.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6.12",NA,"3.4.0"
"dotCall64","dotCall64","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-5.2",NA,"3.4.3"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.4",NA,"3.4.2"
"enc","enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.2"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10.1",NA,"3.4.1"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
